time_s,index,name,x,y,z,vx,vy,vz
60,6,sat_6,-5.45028e+06,-2.71781e+06,-3.60666e+06,4787.92,-3477.54,-4614.85
60,7,sat_7,-1.75491e+06,-4.12673e+06,-5.47635e+06,7269.98,-1119.72,-1485.91
60,8,sat_8,2.61077e+06,-3.95937e+06,-5.25426e+06,6975.15,1665.8,2210.59
60,9,sat_9,5.97923e+06,-2.27967e+06,-3.02522e+06,4016.05,3815.03,5062.72
60,10,sat_10,-1.26866e+06,5.73325e+06,3.95226e+06,-4692.2,-3992.13,4284.91
60,11,sat_11,-1.29963e+06,5.70674e+06,3.98047e+06,-4682.66,-4034.61,4255.46
60,12,sat_12,-3.64999e+06,2.37437e+06,5.58032e+06,-2975.06,-6822.57,957.005
60,13,sat_13,-4.59777e+06,-2.3772e+06,4.82799e+06,253.521,-6821.47,-3117.31
60,14,sat_14,-3.3079e+06,-6.02059e+06,1.70596e+06,3395.06,-3484.37,-5713.76
60,15,sat_15,-382505,-6.69571e+06,-2.26301e+06,4864.3,1578.3,-5491.98
60,16,sat_16,2.73255e+06,-4.06e+06,-5.11366e+06,3928.47,5861.42,-2554.45
60,17,sat_17,4.49626e+06,583689,-5.43535e+06,1049.74,7245.79,1646.48
60,18,sat_18,4.03624e+06,4.93872e+06,-3.06885e+06,-2348.17,5046.59,5033.12
60,19,sat_19,1.58e+06,6.85118e+06,815418,-4584.74,351.48,5930.51
60,20,sat_20,-1.96509e+06,-3.81516e+06,5.62877e+06,6290.02,-4055.19,-552.66
60,21,sat_21,-4.85282e+06,-1.15214e+06,5.02222e+06,4175.39,-5595.84,2750.82
60,22,sat_22,-2.45561e+06,-3.48103e+06,5.65265e+06,6093.18,-4380.06,-50.3532
60,23,sat_23,2.12239e+06,-5.36328e+06,4.10253e+06,6232.3,-687.597,-4123.1
60,24,sat_24,5.73821e+06,-4.14395e+06,-26950.2,2625.58,3674.66,-5993.12
60,25,sat_25,5.69072e+06,-219428,-4.20328e+06,-2739.28,5722.88,-4007.4
60,26,sat_26,1.88732e+06,3.86486e+06,-5.62147e+06,-6316.73,4001.94,630.669
60,27,sat_27,-3.1709e+06,5.39084e+06,-3.31426e+06,-5709.91,-373.718,4855.05
60,28,sat_28,-6.12581e+06,3.33929e+06,1.19316e+06,-1313.3,-4502.38,5858.17
60,29,sat_29,-5.01406e+06,-929280,4.90873e+06,3955.45,-5642.23,2972.19
60,30,sat_30,6.23199e+06,2.78827e+06,1.86757e+06,-499.752,4905.78,-5656.67
60,31,sat_31,3.35557e+06,-2.76458e+06,5.58546e+06,5590.02,4920.83,-922.696
60,32,sat_32,4.43127e+06,-1.67813e+06,5.25811e+06,4672.59,5444.27,-2200.27
60,33,sat_33,6.23409e+06,2.0834e+06,2.62596e+06,469.496,5284.56,-5307.29
60,34,sat_34,4.23748e+06,5.19458e+06,-2.2716e+06,-4870.46,1573.17,-5488
60,35,sat_35,-1.37171e+06,4.17304e+06,-5.55015e+06,-6464.51,-3637.46,-1137.24
60,36,sat_36,-5.85598e+06,-592700,-3.93144e+06,-2314.9,-5693.03,4306.38
60,37,sat_37,-4.99181e+06,-4.84478e+06,1.30766e+06,3986.96,-2534.21,5830.63
60,38,sat_38,506327,-4.61148e+06,5.34583e+06,6604.29,2983.62,1948.24
60,39,sat_39,5.53769e+06,-82100.4,4.40764e+06,3071.66,5726.94,-3752.51
60,40,sat_40,-4.57995e+06,1.36083e+06,-5.22228e+06,498.14,-7127.61,-2294.19
60,41,sat_41,-845388,6.81208e+06,1.72653e+06,-4798.18,850.939,-5706.81
60,42,sat_42,-298389,6.66731e+06,2.35753e+06,-4870.91,1708.08,-5447.11
60,43,sat_43,-2.72338e+06,6.48687e+06,-777034,-3935.62,-2363.38,-5936.3
60,44,sat_44,-4.60266e+06,2.1962e+06,-4.90838e+06,-116.998,-6889.33,-2972.84
60,45,sat_45,-2.23584e+06,-4.73419e+06,-4.76324e+06,4266.95,-5262.31,3227.33
